0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/textEditor.js?ox=6.1.2 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/yahoo-dom-event.js?ox=6.1.2 HTTP/1.1" 200 36989
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/jquery-ckeditor-adapter.js?ox=6.1.2 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "GET /ProgrammaBiennale2020/xava/editors/js/yahoo-treeview-min.js?ox=6.1.2 HTTP/1.1" 200 34313
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "GET /ProgrammaBiennale2020/naviox/js/naviox.js?ox=6.1.2 HTTP/1.1" 200 3855
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "GET /ProgrammaBiennale2020/xava/fonts/roboto-regular-webfont.woff HTTP/1.1" 200 20924
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "GET /ProgrammaBiennale2020/xava/fonts/materialdesignicons-webfont.woff?v=1.9.32 HTTP/1.1" 200 135276
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:03 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:05 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:07 +0200] "GET /ProgrammaBiennale2020/m/Cronoprogramma?detail=2020 HTTP/1.1" 200 14007
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:08 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:29:09 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 52070
0:0:0:0:0:0:0:1 - - [20/Jul/2020:10:56:14 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 39899
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/m/ProcedureProgramma?init=true HTTP/1.1" 200 14071
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "GET /ProgrammaBiennale2020/xava/images/search.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:30 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:32 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 88436
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:37 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 499507
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:38 +0200] "GET /ProgrammaBiennale2020/xava/style/smoothness/images/ui-bg_flat_75_ffffff_40x100.png HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:51 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 295280
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:54 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 88434
0:0:0:0:0:0:0:1 - - [20/Jul/2020:11:03:56 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 499508
